Name,Mar Cap - Crore,Sales Qtr - Crore
Balkrishna Inds,21372.18,1106.31
Cholaman.Inv.&Fn,20832.4,1404.33
Indraprastha Gas,20779.52,1183.9
Glaxosmi. Pharma,20489.35,703.91
PNB Housing,20037.85,1438.49
RBL Bank,19748.79,1150.79
Castrol India,18803.22,970.3
GRUH Finance,18535.09,428.47
KIOCL,18534.15,442.81
Voltas,18453.44,1374.67
Godrej Inds.,18298.09,2458.48
Whirlpool India,18254.06,958.01
Sundaram Finance,18159.85,677.23
Federal Bank,18086.81,2501.2
Tata Chemicals,17941.47,2573.91
Exide Inds.,17930.75,2276.54
IDFC Bank,17762.77,2283.72
NBCC,17712,1321.5
The Ramco Cement,17246.58,1056.36
Dewan Hsg. Fin.,17097.54,2631.6
MphasiS,16728.78,1660.69
Apollo Hospitals,16683.97,1896.14
Reliance Nip.Lif,16655.58,394
Tata Global,16589.24,1730.39
Godrej Propert.,16545.51,627.03
AU Small Finance,16453.67,464.17
Indian Hotels,16150.13,1197.26
Motil.Oswal.Fin.,16108.15,728.63
H U D C O,16065.25,1064.49
Oberoi Realty,16044.51,356.2
SJVN,15512.35,436.58
Supreme Inds.,15248.94,1278.3
Muthoot Finance,15226.72,1553.71
NLC India,15201.61,1706.48
Info Edg.(India),14845.05,1527.52
Glenmark Pharma.,14785.53,2203.67
Jubilant Life,14775.08,2067.76
Crompton Gr. Con,14638.57,938.19
Honeywell Auto,14526.24,721.48
Natco Pharma,14456.9,562.2
PC Jeweller,14334.81,2644.89
Quess Corp,14330.19,1583.95
CRISIL,14164.81,441.13
WABCO India,13843.64,649.91
Amara Raja Batt.,13774.32,1553.46
Sterlite Tech.,13743.95,835.18
AIA Engg.,13593.35,572.16
KRBL,13492.55,783.51
Max Financial,13401.76,891.73
Indiabulls Vent.,13396.15,238.43
Century Textiles,13369.97,2069.39
Jubilant Food.,13178.43,795.17
Bayer Crop Sci.,13166.76,479.7
Graphite India,13129.9,933.06
JSW Energy,13104,1993.2
CESC,12996.56,1706
Shri.City Union.,12995.31,1338.09
L&T Technology,12942.25,969.1
Torrent Power,12599.37,2754.64
Dilip Buildcon,12526.06,1942.12
TI Financial,12507.91,886.68
JM Financial,12382.64,837.73
Reliance Power,12033.99,2494.65
Syngene Intl.,11950,387.7
Abbott India,11924.12,881.49
Hatsun AgroProd.,11896.52,1012.94
Symphony,11882.55,217.63
Gujarat Gas,11759.77,1571.33
Aditya Bir. Fas.,11718.17,1855
Ajanta Pharma,11651.8,587.05
P I Inds.,11564.22,537.74
City Union Bank,11554.4,865.36
Varun Beverages,11498.3,329.92
Mindtree,11438.78,784.05
Prestige Estates,11353.13,848.13
Future Consumer,11203.15,667.5
Sundram Fasten.,11202.53,350.18
Sanofi India,11182.45,865.77
Guj.St.Petronet,11064.74,656.78
Godrej Agrovet,10918.75,576.05
Finolex Cables,10900.75,840.02
Bombay Burmah,10864.53,19.42
SRF,10842.62,842.71
GE T&D India,10778.42,521.32
Alembic Pharma,10764.29,473.42
SPARC,10755.13,706.43
GMR Infra.,10653.44,456.54
HEG,10630.76,704.59
Trent,10589.27,182.21
Engineers India,10565.56,441.2
Avanti Feeds,10558.13,700.49
Pfizer,10508.48,162.17
Escorts,10450.56,271.13
Tata Motors-DVR,10442.09,465.68
Blue Dart Exp.,10422.45,624.37
Indbull.RealEst.,10338.4,451.86
ERIS Lifescience,10289.81,756.5
Arvind Ltd,10247.7,141.61
Sundaram Clayton,10074.36,64.75
Hexaware Tech.,9885.05,371.82
Mahanagar Gas,5645.72,581.94
SKF India,9569.14,390.16
Delta Corp,9531.57,336.28
Union Bank (I),9528.82,506.06
TV18 Broadcast,9463.27,143.13
Minda Inds.,9457.04,47.02
Solar Inds.,9317.76,595.05
Kajaria Ceramics,9306.54,482.52
Astral Poly,9162.14,290.88
Bata India,9145.38,63.93
Phoenix Mills,9097.33,433.19
BASF India,8778.35,472.48
DCM Shriram,8681.95,399.29
Infibeam Incorp.,8646.54,951.68
Aegis Logistics,8613.86,183.74
Mahindra CIE,8587.04,185.65
Jet Airways,8539.88,240.48
SpiceJet,8458.24,297.43
Thomas Cook (I),8440.65,564.75
Guj Fluorochem,8439.77,535.6
Wockhardt,8428.58,506.82
Akzo Nobel,8389.47,729.22
I D F C,8380.86,754.7
Security & Intel,8247.08,612.4
Asahi India Glas,8183.96,80.62
TTK Prestige,8153.33,74.82
ITI,8124.6,293
Karur Vysya Bank,8065.7,636.2
Vardhman Textile,8023.74,187.1
Fortis Health.,7966.43,60.97
Ipca Labs.,7943.03,367.53
Sheela Foam,7815.74,82.87
IRB Infra.Devl.,7812.73,430.8
Atul,7789.01,626.8
Finolex Inds.,7784.17,605.05
Dish TV,7765.91,740.77
Rel. Comm.,7702.01,1144
Dr Lal Pathlabs,7550.78,262.7
OCL India,7453.05,859.24
NCC,7439.01,2780.26
Relaxo Footwear,7251.91,457.5
J K Cements,7230.76,1126.11
G N F C,7208.38,1590.89
Cochin Shipyard,7154.99,615.04
Birla Corpn.,7137.67,1389.32
Future Lifestyle,7009.13,1188.97
Century Ply.,6966.23,509.93
Blue Star,6952.99,981.3
Kalpataru Power,6950.23,1417.37
Suzlon Energy,6942.31,1193.06
Cyient,6921.97,983.3
Hind.Copper,6902.14,440.14
Guj Pipavav Port,6864.85,162.68
Carborundum Uni.,6838.18,611.59
Can Fin Homes,6811.5,392.1
Sadbhav Engg.,6795.06,2153.34
Advanta,6742.41,361.68
Capital First,6710.63,987.64
Lak. Mach. Works,6654.81,542.42
Himadri Specialt,6646.41,500.08
Coffee Day Enter,6601.62,965.3
PVR,6591.31,557.25
Chambal Fert.,6542.79,2330.1
Welspun India,6520.67,1397.95
CEAT,6476.26,1574.15
Strides Shasun,6469.51,749.04
Narayana Hrudaya,6379.12,553.84
Jyothy Lab.,6324.62,431.21
Johnson Con. Hit,6209.11,377.4
Prism Cement,6176.23,1425.66
Tata Elxsi,6153.54,345.54
D B Corp,6059.97,598.58
Jain Irrigation,6019.89,1889.63
Persistent Sys,5996.4,791.89
Sunteck Realty,5865.04,201.5
Raymond,5863.1,1484.24
MOIL,5840.29,299.8
Bombay Dyeing,5823.25,619.93
GE Shipping Co,5802.66,584.42
Grindwell Norton,5706.51,365.42
Galaxy Surfact.,5567.11,826.95
Laurus Labs,5502.94,473.77
Guj Alkalies,5498.45,617.61
GE Power,5497.4,2156.82
Timken India,5495.76,278.58
Dishman Carbogen,5416.39,459.82
St Bk of Bikaner,5402.95,2262.28
MMTC,5300,757.12
IFB Inds.,5293.53,531.74
eClerx Services,5259.14,339.89
Sobha,5224.11,691.9
Kirloskar Oil,5207.77,684.61
G S F C,5200.13,1537.45
CG Power & Indu.,5151.85,1516.08
Westlife Develop,5145.88,305.19
K P R Mill Ltd,5145.36,714.51
Tube Investments,5139.43,1274.21
Bajaj Electrical,5127.38,1145.13
VST Inds.,5109.25,238.97
BEML Ltd,5089.87,731.51
FDC,5084.19,248.77
DCB Bank,5080.5,610.78
Star Cement,5072.67,377.43
Netwrk.18 Media,5067.23,366.02
